Price,Shaft_Diameter,Rated_torque,Max_Torque_Rating,Thermal_Rating,Actual_Ratio,Max_Input_Power,Actual_Speed_Rpm
5930.0,18.66,59.66,112.33,0.85,3.18,0.01,0.12
5970.0,18.69,67.57,123.54,0.88,5.84,0.11,0.38
6020.0,18.71,75.47,134.74,0.9,8.5,0.2,0.65
6070.0,18.74,83.38,145.95,0.93,11.16,0.3,0.91
6120.0,18.76,91.29,157.16,0.96,13.82,0.4,1.17
6160.0,18.79,99.2,168.37,0.98,16.48,0.49,1.43
6210.0,18.81,107.11,179.58,1.01,19.14,0.59,1.69
6260.0,18.84,115.01,190.78,1.04,21.8,0.69,1.96
6300.0,18.86,122.92,201.99,1.06,24.46,0.78,2.22
6350.0,18.89,130.83,213.2,1.09,27.12,0.88,2.48
6400.0,18.91,138.74,224.41,1.12,29.78,0.98,2.74
6440.0,18.94,146.65,235.61,1.14,32.44,1.07,3.0
6490.0,18.96,154.55,246.82,1.17,35.1,1.17,3.27
6540.0,18.98,162.46,258.03,1.2,37.77,1.27,3.53
6580.0,19.01,170.37,269.24,1.22,40.43,1.37,3.79
6630.0,19.03,178.28,280.44,1.25,43.09,1.46,4.05
6680.0,19.06,186.19,291.65,1.28,45.75,1.56,4.31
6730.0,19.08,194.09,302.86,1.3,48.41,1.66,4.58
6770.0,19.11,202.0,314.07,1.33,51.07,1.75,4.84
6820.0,19.13,209.91,325.27,1.36,53.73,1.85,5.1
6870.0,19.16,217.82,336.48,1.38,56.39,1.95,5.36
6910.0,19.18,225.73,347.69,1.41,59.05,2.04,5.62
6960.0,19.21,233.63,358.9,1.44,61.71,2.14,5.89
7010.0,19.23,241.54,370.11,1.46,64.37,2.24,6.15
7050.0,19.26,249.45,381.31,1.49,67.03,2.33,6.41
7100.0,19.28,257.36,392.52,1.52,69.69,2.43,6.67
7150.0,19.31,265.27,403.73,1.54,72.35,2.53,6.93
7200.0,19.33,273.18,414.94,1.57,75.01,2.62,7.19
7240.0,19.36,281.08,426.14,1.6,77.68,2.72,7.46
7290.0,19.38,288.99,437.35,1.62,80.34,2.82,7.72
7340.0,19.41,296.9,448.56,1.65,83.0,2.91,7.98
7380.0,19.43,304.81,459.77,1.68,85.66,3.01,8.24
7430.0,19.46,312.72,470.97,1.7,88.32,3.11,8.5
7480.0,19.48,320.62,482.18,1.73,90.98,3.2,8.77
7520.0,19.51,328.53,493.39,1.76,93.64,3.3,9.03
7570.0,19.53,336.44,504.6,1.78,96.3,3.4,9.29
7620.0,19.56,344.35,515.8,1.81,98.96,3.49,9.55
7660.0,19.58,352.26,527.01,1.84,101.62,3.59,9.81
7710.0,19.6,360.16,538.22,1.86,104.28,3.69,10.08
7760.0,19.63,368.07,549.43,1.89,106.94,3.78,10.34
7810.0,19.65,375.98,560.64,1.92,109.6,3.88,10.6
7850.0,19.68,383.89,571.84,1.94,112.26,3.98,10.86
7900.0,19.7,391.8,583.05,1.97,114.92,4.07,11.12
7950.0,19.73,399.7,594.26,2.0,117.59,4.17,11.39
7990.0,19.75,407.61,605.47,2.02,120.25,4.27,11.65
8040.0,19.78,415.52,616.67,2.05,122.91,4.36,11.91
8090.0,19.8,423.43,627.88,2.08,125.57,4.46,12.17
8130.0,19.83,431.34,639.09,2.1,128.23,4.56,12.43
8180.0,19.85,439.24,650.3,2.13,130.89,4.65,12.7
8230.0,19.88,447.15,661.5,2.16,133.55,4.75,12.96
8280.0,19.9,455.06,672.71,2.18,136.21,4.85,13.22
8320.0,19.93,462.97,683.92,2.21,138.87,4.95,13.48
8370.0,19.95,470.88,695.13,2.24,141.53,5.04,13.74
8420.0,19.98,478.78,706.33,2.26,144.19,5.14,14.0
8460.0,20.0,486.69,717.54,2.29,146.85,5.24,14.27
8510.0,20.03,494.6,728.75,2.32,149.51,5.33,14.53
8560.0,20.05,502.51,739.96,2.34,152.17,5.43,14.79
8600.0,20.08,510.42,751.17,2.37,154.84,5.53,15.05
8650.0,20.1,518.33,762.37,2.4,157.5,5.62,15.31
8700.0,20.13,526.23,773.58,2.42,160.16,5.72,15.58
8740.0,20.15,534.14,784.79,2.45,162.82,5.82,15.84
8790.0,20.18,542.05,796.0,2.48,165.48,5.91,16.1
8840.0,20.2,549.96,807.2,2.5,168.14,6.01,16.36
8890.0,20.23,557.87,818.41,2.53,170.8,6.11,16.62
8930.0,20.25,565.77,829.62,2.56,173.46,6.2,16.89
8980.0,20.27,573.68,840.83,2.58,176.12,6.3,17.15
9030.0,20.3,581.59,852.03,2.61,178.78,6.4,17.41
9070.0,20.32,589.5,863.24,2.64,181.44,6.49,17.67
9120.0,20.35,597.41,874.45,2.66,184.1,6.59,17.93
9170.0,20.37,605.31,885.66,2.69,186.76,6.69,18.2
9210.0,20.4,613.22,896.86,2.72,189.42,6.78,18.46
9260.0,20.42,621.13,908.07,2.74,192.08,6.88,18.72
9310.0,20.45,629.04,919.28,2.77,194.75,6.98,18.98
9350.0,20.47,636.95,930.49,2.8,197.41,7.07,19.24
9400.0,20.5,644.85,941.7,2.82,200.07,7.17,19.51
9450.0,20.52,652.76,952.9,2.85,202.73,7.27,19.77
9500.0,20.55,660.67,964.11,2.88,205.39,7.36,20.03
9540.0,20.57,668.58,975.32,2.9,208.05,7.46,20.29
9590.0,20.6,676.49,986.53,2.93,210.71,7.56,20.55
9640.0,20.62,684.39,997.73,2.96,213.37,7.65,20.82
9680.0,20.65,692.3,1008.94,2.98,216.03,7.75,21.08
9730.0,20.67,700.21,1020.15,3.01,218.69,7.85,21.34
9780.0,20.7,708.12,1031.36,3.04,221.35,7.94,21.6
9820.0,20.72,716.03,1042.56,3.06,224.01,8.04,21.86
9870.0,20.75,723.93,1053.77,3.09,226.67,8.14,22.12
9920.0,20.77,731.84,1064.98,3.12,229.33,8.23,22.39
9970.0,20.8,739.75,1076.19,3.14,231.99,8.33,22.65
10010.0,20.82,747.66,1087.39,3.17,234.66,8.43,22.91
10060.0,20.85,755.57,1098.6,3.2,237.32,8.53,23.17
10110.0,20.87,763.47,1109.81,3.22,239.98,8.62,23.43
10150.0,20.89,771.38,1121.02,3.25,242.64,8.72,23.7
10200.0,20.92,779.29,1132.23,3.28,245.3,8.82,23.96
10250.0,20.94,787.2,1143.43,3.3,247.96,8.91,24.22
10290.0,20.97,795.11,1154.64,3.33,250.62,9.01,24.48
10340.0,20.99,803.02,1165.85,3.36,253.28,9.11,24.74
10390.0,21.02,810.92,1177.06,3.38,255.94,9.2,25.01
10430.0,21.04,818.83,1188.26,3.41,258.6,9.3,25.27
10480.0,21.07,826.74,1199.47,3.44,261.26,9.4,25.53
10530.0,21.09,834.65,1210.68,3.46,263.92,9.49,25.79
10580.0,21.12,842.56,1221.89,3.49,266.58,9.59,26.05
10620.0,21.14,850.46,1233.09,3.52,269.24,9.69,26.32
10670.0,21.17,858.37,1244.3,3.54,271.9,9.78,26.58
10720.0,21.19,866.28,1255.51,3.57,274.57,9.88,26.84
10760.0,21.22,874.19,1266.72,3.6,277.23,9.98,27.1
10810.0,21.24,882.1,1277.92,3.62,279.89,10.07,27.36
10860.0,21.27,890.0,1289.13,3.65,282.55,10.17,27.63
10900.0,21.29,897.91,1300.34,3.68,285.21,10.27,27.89
10950.0,21.32,905.82,1311.55,3.7,287.87,10.36,28.15
11000.0,21.34,913.73,1322.76,3.73,290.53,10.46,28.41
11050.0,21.37,921.64,1333.96,3.76,293.19,10.56,28.67
11090.0,21.39,929.54,1345.17,3.78,295.85,10.65,28.94
11140.0,21.42,937.45,1356.38,3.81,298.51,10.75,29.2
11190.0,21.44,945.36,1367.59,3.84,301.17,10.85,29.46
11230.0,21.47,953.27,1378.79,3.86,303.83,10.94,29.72
11280.0,21.49,961.18,1390.0,3.89,306.49,11.04,29.98
11330.0,21.52,969.08,1401.21,3.92,309.15,11.14,30.24
11370.0,21.54,976.99,1412.42,3.94,311.82,11.23,30.51
11420.0,21.56,984.9,1423.62,3.97,314.48,11.33,30.77
11470.0,21.59,992.81,1434.83,4.0,317.14,11.43,31.03
11510.0,21.61,1000.72,1446.04,4.02,319.8,11.52,31.29
11560.0,21.64,1008.62,1457.25,4.05,322.46,11.62,31.55
11610.0,21.66,1016.53,1468.45,4.08,325.12,11.72,31.82
11660.0,21.69,1024.44,1479.66,4.1,327.78,11.81,32.08
11700.0,21.71,1032.35,1490.87,4.13,330.44,11.91,32.34
11750.0,21.74,1040.26,1502.08,4.16,333.1,12.01,32.6
11800.0,21.76,1048.17,1513.29,4.18,335.76,12.11,32.86
11840.0,21.79,1056.07,1524.49,4.21,338.42,12.2,33.13
11890.0,21.81,1063.98,1535.7,4.24,341.08,12.3,33.39
11940.0,21.84,1071.89,1546.91,4.26,343.74,12.4,33.65
11980.0,21.86,1079.8,1558.12,4.29,346.4,12.49,33.91
12030.0,21.89,1087.71,1569.32,4.32,349.06,12.59,34.17
12080.0,21.91,1095.61,1580.53,4.34,351.73,12.69,34.44
12120.0,21.94,1103.52,1591.74,4.37,354.39,12.78,34.7
12170.0,21.96,1111.43,1602.95,4.4,357.05,12.88,34.96
12220.0,21.99,1119.34,1614.15,4.42,359.71,12.98,35.22
12270.0,22.01,1127.25,1625.36,4.45,362.37,13.07,35.48
12310.0,22.04,1135.15,1636.57,4.48,365.03,13.17,35.75
12360.0,22.06,1143.06,1647.78,4.5,367.69,13.27,36.01
12410.0,22.09,1150.97,1658.98,4.53,370.35,13.36,36.27
12450.0,22.11,1158.88,1670.19,4.56,373.01,13.46,36.53
12500.0,22.14,1166.79,1681.4,4.58,375.67,13.56,36.79
12550.0,22.16,1174.69,1692.61,4.61,378.33,13.65,37.06
12590.0,22.18,1182.6,1703.82,4.64,380.99,13.75,37.32
12640.0,22.21,1190.51,1715.02,4.66,383.65,13.85,37.58
12690.0,22.23,1198.42,1726.23,4.69,386.31,13.94,37.84
12740.0,22.26,1206.33,1737.44,4.72,388.97,14.04,38.1
12780.0,22.28,1214.23,1748.65,4.74,391.64,14.14,38.36
12830.0,22.31,1222.14,1759.85,4.77,394.3,14.23,38.63
12880.0,22.33,1230.05,1771.06,4.8,396.96,14.33,38.89
12920.0,22.36,1237.96,1782.27,4.82,399.62,14.43,39.15
12970.0,22.38,1245.87,1793.48,4.85,402.28,14.52,39.41
13020.0,22.41,1253.77,1804.68,4.88,404.94,14.62,39.67
13060.0,22.43,1261.68,1815.89,4.9,407.6,14.72,39.94
13110.0,22.46,1269.59,1827.1,4.93,410.26,14.81,40.2
13160.0,22.48,1277.5,1838.31,4.96,412.92,14.91,40.46
13200.0,22.51,1285.41,1849.51,4.98,415.58,15.01,40.72
13250.0,22.53,1293.32,1860.72,5.01,418.24,15.1,40.98
13300.0,22.56,1301.22,1871.93,5.04,420.9,15.2,41.25
13350.0,22.58,1309.13,1883.14,5.06,423.56,15.3,41.51
13390.0,22.61,1317.04,1894.35,5.09,426.22,15.39,41.77
13440.0,22.63,1324.95,1905.55,5.12,428.89,15.49,42.03
13490.0,22.66,1332.86,1916.76,5.14,431.55,15.59,42.29
13530.0,22.68,1340.76,1927.97,5.17,434.21,15.69,42.56
13580.0,22.71,1348.67,1939.18,5.2,436.87,15.78,42.82
13630.0,22.73,1356.58,1950.38,5.22,439.53,15.88,43.08
13670.0,22.76,1364.49,1961.59,5.25,442.19,15.98,43.34
13720.0,22.78,1372.4,1972.8,5.28,444.85,16.07,43.6
13770.0,22.8,1380.3,1984.01,5.3,447.51,16.17,43.87
13820.0,22.83,1388.21,1995.21,5.33,450.17,16.27,44.13
13860.0,22.85,1396.12,2006.42,5.36,452.83,16.36,44.39
13910.0,22.88,1404.03,2017.63,5.38,455.49,16.46,44.65
13960.0,22.9,1411.94,2028.84,5.41,458.15,16.56,44.91
14000.0,22.93,1419.84,2040.04,5.44,460.81,16.65,45.17
14050.0,22.95,1427.75,2051.25,5.46,463.47,16.75,45.44
14100.0,22.98,1435.66,2062.46,5.49,466.13,16.85,45.7
14140.0,23.0,1443.57,2073.67,5.52,468.8,16.94,45.96
14190.0,23.03,1451.48,2084.88,5.54,471.46,17.04,46.22
14240.0,23.05,1459.38,2096.08,5.57,474.12,17.14,46.48
14280.0,23.08,1467.29,2107.29,5.6,476.78,17.23,46.75
14330.0,23.1,1475.2,2118.5,5.62,479.44,17.33,47.01
14380.0,23.13,1483.11,2129.71,5.65,482.1,17.43,47.27
14430.0,23.15,1491.02,2140.91,5.68,484.76,17.52,47.53
14470.0,23.18,1498.92,2152.12,5.7,487.42,17.62,47.79
14520.0,23.2,1506.83,2163.33,5.73,490.08,17.72,48.06
14570.0,23.23,1514.74,2174.54,5.76,492.74,17.81,48.32
14610.0,23.25,1522.65,2185.74,5.78,495.4,17.91,48.58
14660.0,23.28,1530.56,2196.95,5.81,498.06,18.01,48.84
14710.0,23.3,1538.47,2208.16,5.84,500.72,18.1,49.1
14750.0,23.33,1546.37,2219.37,5.86,503.38,18.2,49.37
14800.0,23.35,1554.28,2230.57,5.89,506.04,18.3,49.63
14850.0,23.38,1562.19,2241.78,5.92,508.71,18.39,49.89
14890.0,23.4,1570.1,2252.99,5.94,511.37,18.49,50.15
14940.0,23.43,1578.01,2264.2,5.97,514.03,18.59,50.41
14990.0,23.45,1585.91,2275.41,6.0,516.69,18.68,50.68
15040.0,23.47,1593.82,2286.61,6.02,519.35,18.78,50.94
15080.0,23.5,1601.73,2297.82,6.05,522.01,18.88,51.2
15130.0,23.52,1609.64,2309.03,6.08,524.67,18.97,51.46
15180.0,23.55,1617.55,2320.24,6.1,527.33,19.07,51.72
15220.0,23.57,1625.45,2331.44,6.13,529.99,19.17,51.99
15270.0,23.6,1633.36,2342.65,6.16,532.65,19.27,52.25
15320.0,23.62,1641.27,2353.86,6.18,535.31,19.36,52.51
15360.0,23.65,1649.18,2365.07,6.21,537.97,19.46,52.77
15410.0,23.67,1657.09,2376.27,6.24,540.63,19.56,53.03
15460.0,23.7,1664.99,2387.48,6.26,543.29,19.65,53.29
15510.0,23.72,1672.9,2398.69,6.29,545.95,19.75,53.56
15550.0,23.75,1680.81,2409.9,6.32,548.62,19.85,53.82
15600.0,23.77,1688.72,2421.1,6.34,551.28,19.94,54.08
15650.0,23.8,1696.63,2432.31,6.37,553.94,20.04,54.34
15690.0,23.82,1704.53,2443.52,6.4,556.6,20.14,54.6
15740.0,23.85,1712.44,2454.73,6.42,559.26,20.23,54.87
15790.0,23.87,1720.35,2465.94,6.45,561.92,20.33,55.13
15830.0,23.9,1728.26,2477.14,6.48,564.58,20.43,55.39
15880.0,23.92,1736.17,2488.35,6.5,567.24,20.52,55.65
15930.0,23.95,1744.07,2499.56,6.53,569.9,20.62,55.91
15970.0,23.97,1751.98,2510.77,6.56,572.56,20.72,56.18
16020.0,24.0,1759.89,2521.97,6.58,575.22,20.81,56.44
16070.0,24.02,1767.8,2533.18,6.61,577.88,20.91,56.7
16120.0,24.05,1775.71,2544.39,6.64,580.54,21.01,56.96
16160.0,24.07,1783.62,2555.6,6.66,583.2,21.1,57.22
16210.0,24.09,1791.52,2566.8,6.69,585.87,21.2,57.49
16260.0,24.12,1799.43,2578.01,6.72,588.53,21.3,57.75
16300.0,24.14,1807.34,2589.22,6.74,591.19,21.39,58.01
16350.0,24.17,1815.25,2600.43,6.77,593.85,21.49,58.27
16400.0,24.19,1823.16,2611.63,6.8,596.51,21.59,58.53
16440.0,24.22,1831.06,2622.84,6.82,599.17,21.68,58.8
16490.0,24.24,1838.97,2634.05,6.85,601.83,21.78,59.06
16540.0,24.27,1846.88,2645.26,6.88,604.49,21.88,59.32
16590.0,24.29,1854.79,2656.47,6.9,607.15,21.97,59.58
16630.0,24.32,1862.7,2667.67,6.93,609.81,22.07,59.84
16680.0,24.34,1870.6,2678.88,6.96,612.47,22.17,60.11
16730.0,24.37,1878.51,2690.09,6.98,615.13,22.26,60.37
16770.0,24.39,1886.42,2701.3,7.01,617.79,22.36,60.63
16820.0,24.42,1894.33,2712.5,7.04,620.45,22.46,60.89
16870.0,24.44,1902.24,2723.71,7.06,623.11,22.55,61.15
16910.0,24.47,1910.14,2734.92,7.09,625.78,22.65,61.41
16960.0,24.49,1918.05,2746.13,7.12,628.44,22.75,61.68
17010.0,24.52,1925.96,2757.33,7.14,631.1,22.85,61.94
17050.0,24.54,1933.87,2768.54,7.17,633.76,22.94,62.2
17100.0,24.57,1941.78,2779.75,7.2,636.42,23.04,62.46
17150.0,24.59,1949.68,2790.96,7.22,639.08,23.14,62.72
17200.0,24.62,1957.59,2802.16,7.25,641.74,23.23,62.99
17240.0,24.64,1965.5,2813.37,7.28,644.4,23.33,63.25
17290.0,24.67,1973.41,2824.58,7.3,647.06,23.43,63.51
17340.0,24.69,1981.32,2835.79,7.33,649.72,23.52,63.77
17380.0,24.72,1989.22,2847.0,7.36,652.38,23.62,64.03
17430.0,24.74,1997.13,2858.2,7.38,655.04,23.72,64.3
17480.0,24.76,2005.04,2869.41,7.41,657.7,23.81,64.56
17520.0,24.79,2012.95,2880.62,7.44,660.36,23.91,64.82
17570.0,24.81,2020.86,2891.83,7.46,663.02,24.01,65.08
17620.0,24.84,2028.77,2903.03,7.49,665.69,24.1,65.34
17660.0,24.86,2036.67,2914.24,7.52,668.35,24.2,65.61
