Total_Weight,Planet_Gears,Input_Shaft,Output_Shaft,Housing,Ring_Gear,Sun_Gear,Carrier,Bearings,Seals
52,10.4,5.2,5.2,10.4,7.8,6.2,4.2,3.6,1.6
93,18.6,9.3,9.3,18.6,14,11.2,7.4,6.5,2.8
15,3,1.5,1.5,3,2.2,1.8,1.2,1,0.4
72,14.4,7.2,7.2,14.4,10.8,8.6,5.8,5,2.2
61,12.2,6.1,6.1,12.2,9.2,7.3,4.9,4.3,1.8
21,4.2,2.1,2.1,4.2,3.2,2.5,1.7,1.5,0.6
83,16.6,8.3,8.3,16.6,12.4,10,6.6,5.8,2.5
87,17.4,8.7,8.7,17.4,13,10.4,7,6.1,2.6
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
75,15,7.5,7.5,15,11.2,9,6,5.3,2.2
88,17.6,8.8,8.8,17.6,13.2,10.6,7,6.2,2.6
100,20,10,10,20,15,12,8,7,3
24,4.8,2.4,2.4,4.8,3.6,2.9,1.9,1.7,0.7
3,0.6,0.3,0.3,0.6,0.4,0.4,0.2,0.2,0.1
22,4.4,2.2,2.2,4.4,3.3,2.6,1.8,1.5,0.7
53,10.6,5.3,5.3,10.6,8,6.4,4.2,3.7,1.6
2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.1
88,17.6,8.8,8.8,17.6,13.2,10.6,7,6.2,2.6
30,6,3,3,6,4.5,3.6,2.4,2.1,0.9
38,7.6,3.8,3.8,7.6,5.7,4.6,3,2.7,1.1
2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.1
64,12.8,6.4,6.4,12.8,9.6,7.7,5.1,4.5,1.9
60,12,6,6,12,9,7.2,4.8,4.2,1.8
21,4.2,2.1,2.1,4.2,3.2,2.5,1.7,1.5,0.6
33,6.6,3.3,3.3,6.6,5,4,2.6,2.3,1
76,15.2,7.6,7.6,15.2,11.4,9.1,6.1,5.3,2.3
58,11.6,5.8,5.8,11.6,8.7,7,4.6,4.1,1.7
22,4.4,2.2,2.2,4.4,3.3,2.6,1.8,1.5,0.7
89,17.8,8.9,8.9,17.8,13.4,10.7,7.1,6.2,2.7
49,9.8,4.9,4.9,9.8,7.4,5.9,3.9,3.4,1.5
91,18.2,9.1,9.1,18.2,13.6,10.9,7.3,6.4,2.7
59,11.8,5.9,5.9,11.8,8.8,7.1,4.7,4.1,1.8
42,8.4,4.2,4.2,8.4,6.3,5,3.4,2.9,1.3
92,18.4,9.2,9.2,18.4,13.8,11,7.4,6.4,2.8
60,12,6,6,12,9,7.2,4.8,4.2,1.8
80,16,8,8,16,12,9.6,6.4,5.6,2.4
15,3,1.5,1.5,3,2.2,1.8,1.2,1,0.4
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
47,9.4,4.7,4.7,9.4,7,5.6,3.8,3.3,1.4
62,12.4,6.2,6.2,12.4,9.3,7.4,5,4.3,1.9
51,10.2,5.1,5.1,10.2,7.6,6.1,4.1,3.6,1.5
55,11,5.5,5.5,11,8.2,6.6,4.4,3.9,1.6
